LOADING!!, LOADING!!!, -27.1044228, -109.2489683
To Easter Bunny's House, The Easter Bunny has awoken from a long rest!, -27.1044228, -109.2489683
To Easter Bunny's House, The Easter Bunny checks the time and confirms it's Easter Eve. Time to wake up and get ready!, -27.1044228, -109.2489683
To Easter Bunny's House, The Easter Bunny does some stretches after waking up!, -27.1044228, -109.2489683
To Easter Bunny's House, The Easter Bunny opens up his laptop to check the latest news., -27.1044228, -109.2489683
To Easter Bunny's House, The Easter Bunny checks for any last-minute basket requests., -27.1044228, -109.2489683
To Easter Bunny's House, The Easter Bunny sends off the last-minute basket requests to the Basket Wrapping Center., -27.1044228, -109.2489683
To Easter Bunny's Kitchen, The Easter Bunny is busy in the kitchen making a hearty breakfast!, -27.1044228, -109.2489683
To Easter Bunny's Patio, The Easter Bunny sits on the patio enjoying the nice views while eating breakfast., -27.1044228, -109.2489683
To Weather Center, The Easter Bunny's meteorologists start gearing up to begin final weather checks., -27.1044228, -109.2489683
To Weather Center, The Easter Bunny's meteorologists head outside to get the latest weather report., -27.1044228, -109.2489683
To Easter Bunny's Office, The Easter Bunny receives a call from Santa Claus wishing the Easter Bunny all the best for the journey ahead!, -27.1044228, -109.2489683
To Easter Bunny's Office, The Easter Bunny is still chatting with Santa Claus discussing clever places to hide eggs!, -27.1044228, -109.2489683
To Weather Center, The Easter Bunny's meteorologists complete final weather checks. Wind is calm skies are clear and the weather is looking good!, -27.1044228, -109.2489683
To Easter Bunny's House, The Easter Bunny gets ready to head to the workshop to start final basket checks!, -27.1044228, -109.2489683
To Easter Bunny's Village, On the way to the workshop the Easter Bunny chats with all the Easter Bunny's helpers thanking them for their hard work this year., -27.1044228, -109.2489683
To Easter Bunny's Village, After a lovely chat with the Easter Bunny's helpers the Easter Bunny starts heading to the workshop!, -27.1044228, -109.2489683
To Easter Bunny's Workshop, The Easter Bunny starts final basket checks making sure that not a single egg is cracked!, -27.1044228, -109.2489683
To Easter Bunny's Workshop, Final basket checks are underway. So far zero cracked eggs have been found!, -27.1044228, -109.2489683
To Easter Bunny's Workshop, Final basket checks have been completed with the Easter Bunny certifying there are zero cracked eggs!, -27.1044228, -109.2489683
